Sample	BAM
BA2098_742706f4-6a64-410b-bd40-ab5c36fe6a4a.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2098_742706f4-6a64-410b-bd40-ab5c36fe6a4a.rna_seq.genomic.gdc_realn.bam']
BA2100_15428dcf-ad0a-4478-b2d3-65f3dfca14e9.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2100_15428dcf-ad0a-4478-b2d3-65f3dfca14e9.rna_seq.genomic.gdc_realn.bam']
BA2101_b0032d21-0b7d-4ffc-8180-cedc79f5513c.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2101_b0032d21-0b7d-4ffc-8180-cedc79f5513c.rna_seq.genomic.gdc_realn.bam']
BA2104_7aa5e55e-6592-44c4-b78b-d8a63a5e4b68.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2104_7aa5e55e-6592-44c4-b78b-d8a63a5e4b68.rna_seq.genomic.gdc_realn.bam']
BA2106_33bf924b-6147-48c5-a7b1-7a059ebf5973.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2106_33bf924b-6147-48c5-a7b1-7a059ebf5973.rna_seq.genomic.gdc_realn.bam']
BA2109_df4f5bec-9ac0-4b65-9104-180fdaed00dc.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2109_df4f5bec-9ac0-4b65-9104-180fdaed00dc.rna_seq.genomic.gdc_realn.bam']
BA2110_6abaca5d-e67b-4d10-943b-d192ef2e10c5.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2110_6abaca5d-e67b-4d10-943b-d192ef2e10c5.rna_seq.genomic.gdc_realn.bam']
BA2111_16d1ec37-a914-49db-957f-992e656b84aa.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2111_16d1ec37-a914-49db-957f-992e656b84aa.rna_seq.genomic.gdc_realn.bam']
BA2113_8fed7f5d-bef9-4be3-adf6-97352da5a318.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2113_8fed7f5d-bef9-4be3-adf6-97352da5a318.rna_seq.genomic.gdc_realn.bam']
BA2116_c4baa28d-adc8-498a-a12c-f18c27d7c94a.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2116_c4baa28d-adc8-498a-a12c-f18c27d7c94a.rna_seq.genomic.gdc_realn.bam']
BA2121_bd63c311-4d8c-4eea-abff-70770f5fd523.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2121_bd63c311-4d8c-4eea-abff-70770f5fd523.rna_seq.genomic.gdc_realn.bam']
BA2122_41973cb2-723a-4517-9745-125bb6990c14.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2122_41973cb2-723a-4517-9745-125bb6990c14.rna_seq.genomic.gdc_realn.bam']
BA2123_84ec5b3d-af94-43e6-a896-76dcac668b1e.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2123_84ec5b3d-af94-43e6-a896-76dcac668b1e.rna_seq.genomic.gdc_realn.bam']
BA2124_492f4fdf-7c40-4962-9532-821879c22624.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2124_492f4fdf-7c40-4962-9532-821879c22624.rna_seq.genomic.gdc_realn.bam']
BA2125_39b90e76-495b-4179-8d7f-1d2c1c23db2a.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2125_39b90e76-495b-4179-8d7f-1d2c1c23db2a.rna_seq.genomic.gdc_realn.bam']
BA2132_888bed19-f632-4763-a78f-471d47b685b9.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2132_888bed19-f632-4763-a78f-471d47b685b9.rna_seq.genomic.gdc_realn.bam']
BA2133_f6384e56-8642-445a-a7b9-67b20fd0b6c4.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2133_f6384e56-8642-445a-a7b9-67b20fd0b6c4.rna_seq.genomic.gdc_realn.bam']
BA2134_1d066010-9bde-4b92-85f5-cab27d9ef8ea.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2134_1d066010-9bde-4b92-85f5-cab27d9ef8ea.rna_seq.genomic.gdc_realn.bam']
BA2135_c9e37110-cd3f-4306-bd6a-ef7b292afdf8.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2135_c9e37110-cd3f-4306-bd6a-ef7b292afdf8.rna_seq.genomic.gdc_realn.bam']
BA2139_d332029c-d8c6-4a97-a9c0-ba72804ca950.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2139_d332029c-d8c6-4a97-a9c0-ba72804ca950.rna_seq.genomic.gdc_realn.bam']
BA2143_3b039fa9-2c2f-4915-97f6-f52040a0841e.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2143_3b039fa9-2c2f-4915-97f6-f52040a0841e.rna_seq.genomic.gdc_realn.bam']
BA2148_fc87dce9-a2a5-491e-a951-a47abf97a67c.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2148_fc87dce9-a2a5-491e-a951-a47abf97a67c.rna_seq.genomic.gdc_realn.bam']
BA2152_847ede41-2bb9-4d5e-ab76-2df41d541a56.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2152_847ede41-2bb9-4d5e-ab76-2df41d541a56.rna_seq.genomic.gdc_realn.bam']
BA2153_3cdca177-7f4d-4c13-aed4-ef25251e46a1.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2153_3cdca177-7f4d-4c13-aed4-ef25251e46a1.rna_seq.genomic.gdc_realn.bam']
BA2155_253bbe94-57ed-494b-8537-f72c979086e6.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2155_253bbe94-57ed-494b-8537-f72c979086e6.rna_seq.genomic.gdc_realn.bam']
BA2156_ac173997-611d-4edc-8287-06e0d0dfcc14.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2156_ac173997-611d-4edc-8287-06e0d0dfcc14.rna_seq.genomic.gdc_realn.bam']
BA2162_88285790-389c-448b-99d5-27eaa900987f.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2162_88285790-389c-448b-99d5-27eaa900987f.rna_seq.genomic.gdc_realn.bam']
BA2163_8d031671-086d-4901-8f0e-e57838687c65.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2163_8d031671-086d-4901-8f0e-e57838687c65.rna_seq.genomic.gdc_realn.bam']
BA2168_1ec649a1-e3c7-4a86-8bd6-b7429e3a8efc.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2168_1ec649a1-e3c7-4a86-8bd6-b7429e3a8efc.rna_seq.genomic.gdc_realn.bam']
BA2169_acdf574c-8438-4340-84ab-f5ee8dba4466.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2169_acdf574c-8438-4340-84ab-f5ee8dba4466.rna_seq.genomic.gdc_realn.bam']
BA2171_edb28c84-a5c4-4acf-8f6b-eb56fe9794d5.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2171_edb28c84-a5c4-4acf-8f6b-eb56fe9794d5.rna_seq.genomic.gdc_realn.bam']
BA2172_69b17f0f-2e97-4c45-afb6-470aad53b291.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2172_69b17f0f-2e97-4c45-afb6-470aad53b291.rna_seq.genomic.gdc_realn.bam']
BA2174_501c50b9-f511-4a3d-a118-d1b4ff1221b5.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2174_501c50b9-f511-4a3d-a118-d1b4ff1221b5.rna_seq.genomic.gdc_realn.bam']
BA2175_c3cfbd03-f9b6-4a5a-a0e9-a4422fe0e94f.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2175_c3cfbd03-f9b6-4a5a-a0e9-a4422fe0e94f.rna_seq.genomic.gdc_realn.bam']
BA2182_1290e119-df78-400e-8038-9672b47f196f.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2182_1290e119-df78-400e-8038-9672b47f196f.rna_seq.genomic.gdc_realn.bam']
BA2184_38507f5e-b1a0-40fb-85f2-69ebd8cdd39c.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2184_38507f5e-b1a0-40fb-85f2-69ebd8cdd39c.rna_seq.genomic.gdc_realn.bam']
BA2195_87f215be-4fec-40ba-b15d-5c1d0b967a5b.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2195_87f215be-4fec-40ba-b15d-5c1d0b967a5b.rna_seq.genomic.gdc_realn.bam']
BA2198_d870daf4-eade-4925-8a5c-1cfec2822375.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2198_d870daf4-eade-4925-8a5c-1cfec2822375.rna_seq.genomic.gdc_realn.bam']
BA2200_092d23f9-93b6-4eec-97e4-0e8be1e481e2.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2200_092d23f9-93b6-4eec-97e4-0e8be1e481e2.rna_seq.genomic.gdc_realn.bam']
BA2201_199e11d1-bffa-42bd-98e6-a3973590bd90.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2201_199e11d1-bffa-42bd-98e6-a3973590bd90.rna_seq.genomic.gdc_realn.bam']
BA2209_4690b1ce-7751-47b1-9b4c-865b571886fc.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2209_4690b1ce-7751-47b1-9b4c-865b571886fc.rna_seq.genomic.gdc_realn.bam']
BA2211_1d706cfb-9d31-40c7-8aa8-5b2500e95341.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2211_1d706cfb-9d31-40c7-8aa8-5b2500e95341.rna_seq.genomic.gdc_realn.bam']
BA2212_d0dbb008-bd77-4566-9b00-e9c7073fb350.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2212_d0dbb008-bd77-4566-9b00-e9c7073fb350.rna_seq.genomic.gdc_realn.bam']
BA2217_c2741cc7-a404-40b7-b0b7-c13409fa0c31.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2217_c2741cc7-a404-40b7-b0b7-c13409fa0c31.rna_seq.genomic.gdc_realn.bam']
BA2218_8ef7a34e-e44c-44a1-8a0d-81e5634bd3d6.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2218_8ef7a34e-e44c-44a1-8a0d-81e5634bd3d6.rna_seq.genomic.gdc_realn.bam']
BA2220_feb7bbb0-a9f3-4194-bcd4-2351e8a9bb65.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2220_feb7bbb0-a9f3-4194-bcd4-2351e8a9bb65.rna_seq.genomic.gdc_realn.bam']
BA2221_f42214bb-b6ac-421a-b4bd-52d2d74f001e.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2221_f42214bb-b6ac-421a-b4bd-52d2d74f001e.rna_seq.genomic.gdc_realn.bam']
BA2224_814c8047-01a1-483f-9595-8adc6e37cf3d.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2224_814c8047-01a1-483f-9595-8adc6e37cf3d.rna_seq.genomic.gdc_realn.bam']
BA2226_5023fd00-b6b3-4aaf-a426-430025363194.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2226_5023fd00-b6b3-4aaf-a426-430025363194.rna_seq.genomic.gdc_realn.bam']
BA2227_f4f1a08d-b222-4e97-b09c-795801e343ba.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2227_f4f1a08d-b222-4e97-b09c-795801e343ba.rna_seq.genomic.gdc_realn.bam']
BA2228_e4b6d5d2-ac32-43f4-9bea-cb46ba52a9f8.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2228_e4b6d5d2-ac32-43f4-9bea-cb46ba52a9f8.rna_seq.genomic.gdc_realn.bam']
BA2229_006ae191-7c86-42cb-95cb-9809fcee16e2.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2229_006ae191-7c86-42cb-95cb-9809fcee16e2.rna_seq.genomic.gdc_realn.bam']
BA2233_6373560c-94b4-4032-9a96-7786730178e7.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2233_6373560c-94b4-4032-9a96-7786730178e7.rna_seq.genomic.gdc_realn.bam']
BA2234_b7a207c9-a4cc-4ca1-a337-e08de5f5f69c.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2234_b7a207c9-a4cc-4ca1-a337-e08de5f5f69c.rna_seq.genomic.gdc_realn.bam']
BA2235_addc0fc8-0409-4f6a-b39c-49ee2e74b2e3.rna_seq.genomic.gdc_realn	['s3://fh-pi-meshinchi-s/SR/BEAT_AML/BAM/BA2235_addc0fc8-0409-4f6a-b39c-49ee2e74b2e3.rna_seq.genomic.gdc_realn.bam']
