Sample	BAM
TARGET-20-D7-Myeloid-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-Myeloid-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-Myeloid-GFP1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-Myeloid-GFP1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-Myeloid-GFP2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-Myeloid-GFP2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-Myeloid-GFP3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-Myeloid-GFP3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-Myeloid-mock1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-Myeloid-mock1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-Myeloid-mock2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-Myeloid-mock2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D7-Myeloid-mock3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D7-Myeloid-mock3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D84-EC-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D84-EC-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D84-EC-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D84-EC-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D84-EC-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D84-EC-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D84-Myeloid-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D84-Myeloid-CBFA2T3_GLIS2-1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D84-Myeloid-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D84-Myeloid-CBFA2T3_GLIS2-2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D84-Myeloid-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D84-Myeloid-CBFA2T3_GLIS2-3-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D84-Myeloid-GFP1-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D84-Myeloid-GFP1-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D84-Myeloid-GFP2-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D84-Myeloid-GFP2-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-D87-EC-CBFA2T3_GLIS2-scbulkleftovers-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-D87-EC-CBFA2T3_GLIS2-scbulkleftovers-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-ECandCBtransferexp-EConly-ECcells-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-ECandCBtransferexp-EConly-ECcells-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-ECandCBtransferexp-ECplusCB114-CB114cells-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-ECandCBtransferexp-ECplusCB114-CB114cells-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-ECandCBtransferexp-ECplusCB114-ECcells-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-ECandCBtransferexp-ECplusCB114-ECcells-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-ECandCBtransferexp-ECplusTAH002-ECcells-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-ECandCBtransferexp-ECplusTAH002-ECcells-00-01R_withJunctionsOnGenome_dupsFlagged.bam
TARGET-20-ECandCBtransferexp-ECplusTAH002-TAH002CBFcells-00-01R_withJunctionsOnGenome_dupsFlagged	s3://fh-pi-meshinchi-s-eco-public/TARGET_AML/RNAseq_Illumina_Data/BAM/TARGET-20-ECandCBtransferexp-ECplusTAH002-TAH002CBFcells-00-01R_withJunctionsOnGenome_dupsFlagged.bam
